CW;CHH
8.301;32.938
8.303;32.943
8.306;32.949
8.307;32.951
8.308;32.953
8.314;32.964
8.318;32.971
8.32;32.975
8.335;33.004
8.366;33.065
8.374;33.082
8.375;33.083
8.377;33.086
8.38;33.091
8.382;33.095
8.456;33.238
8.458;33.241
8.463;33.251
8.465;33.255
8.475;33.274
8.48;33.283
8.489;33.3
8.492;33.306
8.555;33.424
8.56;33.433
8.561;33.436
8.576;33.463
8.579;33.469
8.591;33.491
8.592;33.492
8.596;33.5
8.596;33.5
8.647;33.594
8.65;33.599
8.654;33.607
8.657;33.612
8.663;33.622
8.667;33.63
8.668;33.633
8.674;33.644
8.675;33.646
10.246;36.47
10.247;36.472
10.261;36.498
10.265;36.504
10.289;36.549
10.3;36.568
10.308;36.582
10.31;36.586
10.345;36.65
10.352;36.661
10.399;36.745
10.403;36.753
10.404;36.754
10.422;36.786
10.506;36.937
10.512;36.948
10.522;36.964
10.523;36.967
10.564;37.04
10.57;37.051
10.571;37.052
10.582;37.072
10.62;37.139
10.622;37.143
10.632;37.161
10.642;37.178
10.645;37.183
10.821;37.494
10.823;37.497
10.825;37.501
10.84;37.527
10.911;37.651
10.915;37.658
10.916;37.661
10.922;37.671
10.925;37.676
10.987;37.784
11.002;37.81
11.004;37.814
11.007;37.82
11.088;37.961
11.1;37.982
11.12;38.016
11.127;38.028
11.13;38.034
11.493;38.661
11.504;38.681
11.522;38.712
11.541;38.745
11.554;38.767
11.616;38.872
11.616;38.874
11.618;38.877
11.627;38.892
11.656;38.942
11.662;38.952
11.694;39.007
11.696;39.011
11.917;39.385
11.919;39.388
11.932;39.411
11.936;39.417
11.945;39.432
11.951;39.443
11.989;39.506
11.991;39.51
11.998;39.521
12.015;39.551
12.019;39.557
12.02;39.56
12.038;39.589
12.042;39.597
12.046;39.603
12.047;39.604
12.055;39.617
12.423;40.231
12.428;40.24
12.438;40.255
12.459;40.29
12.461;40.293
12.483;40.33
12.501;40.36
12.538;40.422
12.544;40.431
12.547;40.436
12.547;40.436
12.586;40.5
12.602;40.527
12.609;40.538
12.615;40.548
12.852;40.935
12.858;40.945
12.865;40.956
12.868;40.962
12.883;40.987
12.888;40.995
12.905;41.023
12.907;41.025
12.91;41.031
12.936;41.073
12.937;41.075
12.94;41.079
12.949;41.093
12.96;41.111
12.961;41.113
12.979;41.143
12.986;41.152
12.99;41.16
13.322;41.693
13.347;41.733
13.351;41.739
13.356;41.748
13.381;41.787
13.387;41.797
13.393;41.807
13.414;41.841
13.415;41.843
13.422;41.852
13.452;41.901
13.46;41.914
13.462;41.917
13.5;41.977
13.539;42.039
13.55;42.056
13.553;42.061
13.698;42.289
13.699;42.292
13.7;42.294
13.701;42.294
13.711;42.31
13.714;42.315
13.728;42.338
13.732;42.343
13.742;42.359
13.747;42.366
13.769;42.401
13.774;42.409
13.812;42.468
13.813;42.471
13.821;42.482
13.824;42.488
13.831;42.498
13.831;42.499
14.179;43.038
14.182;43.043
14.189;43.054
14.191;43.057
14.201;43.071
14.21;43.086
14.233;43.121
14.234;43.123
14.241;43.133
14.27;43.178
14.272;43.182
14.286;43.202
14.311;43.241
14.314;43.246
14.315;43.248
14.322;43.259
14.328;43.268
14.449;43.452
14.456;43.462
14.459;43.467
14.461;43.469
14.467;43.479
14.471;43.486
14.472;43.487
14.474;43.49
14.487;43.51
14.488;43.511
14.502;43.532
14.506;43.538
14.516;43.554
14.533;43.579
14.537;43.585
14.553;43.609
14.858;44.067
14.864;44.075
14.867;44.08
14.872;44.088
14.873;44.089
14.875;44.091
14.876;44.093
14.892;44.117
14.894;44.121
14.901;44.131
14.92;44.159
14.926;44.167
14.939;44.188
14.941;44.19
14.95;44.204
14.952;44.207
14.958;44.216
14.963;44.223
15.07;44.38
15.073;44.386
15.08;44.395
15.09;44.41
15.108;44.437
15.139;44.483
15.146;44.492
15.169;44.526
15.171;44.53
15.173;44.531
15.182;44.544
15.405;44.868
15.406;44.87
15.409;44.875
15.411;44.877
15.414;44.881
15.421;44.891
15.444;44.925
15.46;44.948
15.461;44.95
15.479;44.975
15.486;44.986
15.507;45.015
15.508;45.018
15.537;45.059
15.614;45.169
15.619;45.175
15.644;45.211
15.655;45.227
15.659;45.232
15.676;45.257
15.695;45.283
15.704;45.296
15.707;45.301
15.712;45.307
15.73;45.332
15.91;45.586
15.911;45.588
15.919;45.598
15.92;45.6
15.924;45.605
15.933;45.618
15.939;45.627
15.969;45.668
15.973;45.674
15.977;45.68
15.991;45.7
15.998;45.71
16.016;45.734
16.017;45.735
16.024;45.746
